Kategori Produk,Review,Family_Template,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,jumlah_lembar,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,jumlah_dimensi_x,panjang_nama,jumlah_token,Nama_Produk_Normalized,Split_Grouped
Perekat,2.5,lakban,lakban,joyko,putih,lainnya,lainnya,9.512309,0,0.0,49.34,0.0,0.0,0.0,120.44,0.0,0.0,0.0,0.0,0.0,0.0,50.24,124.81,0,0,0,0,1,35,8,lakban joyko putih 48 mm x 120 yard,train
Kemasan Pengiriman,3.0,polymailer,plastik,lainnya,biru,lainnya,lainnya,9.56079,0,0.0,0.0,0.0,43.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,37,8,plastik polymailer biru 45 cm x 60 cm,train
Pengikat,4.0,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,13.478882,0,52.752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,4,tali rafia hijau 50kg,train
Label,3.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.4193305681139,0,0.0,80.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,46,10,sticker thermal lipat 80 mm x 80 mm 500 lembar,train
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.38958706681109,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 30 cm x 50 cm,train
Alat Pengemasan,3.5,tools,staples,joyko,lainnya,lainnya,lainnya,9.546884034617923,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23,4,isi staples kecil joyko,train
Perekat,4.0,lakban,lakban,yatta,biru,lainnya,lainnya,9.210440366976515,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,41,9,lakban fragile biru yatta 45 mm x 90 yard,train
Peralatan Industri,2.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,8.704183,0,0.0,0.0,0.0,30.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 30 cm x 40 cm,train
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.563936,0,0.0,0.0,0.0,39.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 40 cm x 60 cm,train
Perekat,2.0,lakban,lakban,non brand,putih,lainnya,lainnya,9.087384,1,0.0,48.76,0.0,0.0,0.0,76.56,0.0,0.0,0.0,0.0,0.0,0.0,48.06,76.65,0,0,0,0,1,38,9,lakban non brand putih 48 mm x 80 yard,train
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,kraft,lainnya,7.759824,0,0.0,0.0,0.0,45.41,0.0,0.0,47.08,23.19,14.74,9.686196,0.0,0.0,0.0,0.0,0,0,0,1,2,38,7,kardus packing 45 cmx25 cmx15 cm kraft,train
Kardus Kemasan,3.5,kardus,kardus,lainnya,lainnya,bflute,lainnya,8.03947991910045,0,0.0,0.0,0.0,55.0,0.0,0.0,55.0,35.0,30.0,10.963895944251435,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 55 cm x 35 cm x 30 cm bflute,train
Perlengkapan Rumah,3.5,trash_bag,plastik,lainnya,lainnya,pe,lainnya,10.92415631759022,0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,9,plastik sampah jumbo pe 120 cm x 180 cm,train
Pengikat,3.0,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,9.741027444837728,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia hijau 1kg,train
Perlengkapan Rumah,1.0,trash_bag,plastik,lainnya,hitam,lainnya,lainnya,9.105579,0,0.0,0.0,0.0,16.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek hitam 15 cm x 35 cm,train
Perlengkapan Rumah,2.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.406637,0,0.0,0.0,0.0,46.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 45 cm x 65 cm,train
Material Busa,3.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.544332569000922,0,0.0,2.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 2 mm,train
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,bening,lainnya,lainnya,11.137893,0,2.21,0.0,0.0,31.07,24.71,0.0,0.0,0.0,0.0,0.0,32.25,25.47,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack bening 2.4kg 30 cm x 25 meter,train
Kemasan Pengiriman,3.0,polymailer,plastik,lainnya,silver,lainnya,lainnya,9.672292,0,0.0,0.0,0.0,33.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,8,plastik polymailer silver 35 cm x 50 cm,train
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,smilepack,bening,lainnya,lainnya,11.050905878263569,0,2.2,0.0,0.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,25.0,0.0,0.0,0,0,0,0,1,51,10,bubble wrap smilepack bening 2.2kg 60 cm x 25 meter,train
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,lainnya,lainnya,11.296024885689746,0,10.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,30,6,kardus singleface 80 cm x 10kg,train
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.674073,0,0.0,0.0,0.0,61.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,7,kantong plastik laundry pp 60cm x 90cm,train
Pelindung Kemasan,4.0,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.231901180182517,0,2.2,0.0,0.0,125.0,25.0,0.0,0.0,0.0,0.0,0.0,125.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack hitam 2.2kg 125 cm x 25 meter,train
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,gmp,bening,lainnya,lainnya,11.440365524765756,0,2.4,0.0,0.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,60.0,100.0,0.0,0.0,0,0,0,0,1,46,10,bubble wrap gmp bening 2.4kg 60 cm x 100 meter,train
Perekat,2.5,lakban,lakban,non brand,putih,lainnya,lainnya,8.839421607620602,1,0.0,45.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,70.0,0,0,0,0,1,38,9,lakban non brand putih 45 mm x 70 yard,test
Perlengkapan Rumah,2.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.928228944424577,0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 60 cm x 90 cm,train
Label,3.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.501696,0,0.0,92.27,262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,42,9,sticker thermal 100 mm x 100 mm 300 lembar,train
Kardus Kemasan,4.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,7.8636512654486515,0,0.0,0.0,0.0,34.0,0.0,0.0,34.0,30.0,9.0,9.1248914101437,0.0,0.0,0.0,0.0,1,0,0,0,2,42,11,kardus packing 34 cm x 30 cm x 9 cm bflute,train
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,9.648659816955297,0,0.0,0.0,0.0,10.0,200.0,0.0,0.0,0.0,0.0,0.0,10.0,200.0,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 10 cm x 200 meter,test
Material Busa,3.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.729323752253295,0,0.0,3.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 3 mm,train
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,non brand,bening,lainnya,lainnya,11.228722,1,2.462,0.0,0.0,57.49,23.63,0.0,0.0,0.0,0.0,0.0,56.44,24.95,0.0,0.0,0,0,0,0,1,51,11,bubble wrap non brand bening 2.4kg 60 cm x 25 meter,train
Perekat,4.0,lakban,lakban,smilepack,merah,lainnya,lainnya,9.259225769705994,0,0.0,45.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,85.0,0,0,0,0,1,38,8,lakban smilepack merah 45 mm x 85 yard,train
Peralatan Industri,3.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,7.378383712996714,0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 15 cm x 30 cm,test
Peralatan Industri,2.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,8.81001204797317,0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 35 cm x 55 cm,test
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,cflute,lainnya,8.553388,0,0.0,0.0,0.0,36.09,0.0,0.0,33.09,17.48,8.34,8.481559,0.0,0.0,0.0,0.0,0,1,0,0,2,42,11,kardus packing 34 cm x 19 cm x 9 cm cflute,train
Kemasan Pengiriman,3.0,polymailer,plastik,lainnya,silver,lainnya,lainnya,9.92742,0,0.0,0.0,0.0,32.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,8,plastik polymailer silver 35 cm x 50 cm,train
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,upack,hitam,lainnya,lainnya,11.63539,0,3.41,0.0,0.0,58.34,97.9,0.0,0.0,0.0,0.0,0.0,55.72,97.79,0.0,0.0,0,0,0,0,1,46,9,bubble wrap upack hitam 3.2kg 60cm x 100 meter,train
Perlengkapan Rumah,1.0,trash_bag,plastik,lainnya,hitam,lainnya,lainnya,9.113557,0,0.0,0.0,0.0,15.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,34,8,plastik kresek hitam 15 cm x 35 cm,train
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,lainnya,lainnya,11.81303746480054,0,20.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,31,6,kardus singleface 200 cm x 20kg,test
Perekat,4.5,lakban,lakban,joyko,biru,lainnya,lainnya,9.069865,0,0.0,48.6,0.0,0.0,0.0,83.83,0.0,0.0,0.0,0.0,0.0,0.0,43.69,75.93,0,0,0,0,1,33,8,lakban joyko biru 45 mm x 80 yard,train
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,10.628412,0,0.0,0.0,0.0,27.73,253.29,0.0,0.0,0.0,0.0,0.0,28.31,260.98,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 30 cm x 270 meter,train
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,hitam,lainnya,lainnya,10.875793,0,0.0,0.0,0.0,47.88,258.3,0.0,0.0,0.0,0.0,0.0,48.02,246.83,0.0,0.0,0,0,0,0,1,32,7,wrapping hitam 50 cm x 250 meter,train
Perekat,3.5,lakban,lakban,deli,biru,lainnya,lainnya,9.259225769705994,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,32,8,lakban deli biru 45 mm x 90 yard,train
Kemasan Pengiriman,4.0,polymailer,plastik,lainnya,silver,lainnya,lainnya,9.61587214452889,0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,39,8,plastik polymailer silver 45 cm x 60 cm,train
Kemasan Fleksibel,4.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.505094936455558,0,0.0,0.0,0.0,50.0,175.0,0.0,0.0,0.0,0.0,0.0,50.0,175.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 50 cm x 175 meter,train
Kemasan Fleksibel,4.5,wrapping,wrapping,lainnya,bening,lainnya,lainnya,9.943054,0,0.0,0.0,0.0,31.45,171.58,0.0,0.0,0.0,0.0,0.0,31.26,188.91,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 30 cm x 175 meter,train
Perekat,3.5,lakban,lakban,deli,putih,lainnya,lainnya,9.179093,0,0.0,42.53,0.0,0.0,0.0,92.53,0.0,0.0,0.0,0.0,0.0,0.0,46.85,98.46,0,0,0,0,1,34,8,lakban deli putih 45 mm x 100 yard,train
Pengikat,4.0,tali_rafia,lainnya,lainnya,kuning,lainnya,lainnya,10.043292972227004,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,4,tali rafia kuning 1kg,validation
Alat Pengemasan,4.0,tools,staples,deli,lainnya,lainnya,lainnya,9.518298,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,22,4,isi staples kecil deli,train
Pengikat,3.0,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,10.240206,0,0.908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia hijau 1kg,train
Pengikat,3.5,tali_rafia,lainnya,lainnya,kuning,lainnya,lainnya,9.305741456739437,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,4,tali rafia kuning 1kg,validation
