trial_id,objective_score,best_val_rmse,best_val_mae,best_train_rmse,best_train_mae,generalization_gap,best_epoch,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,norm_name,activation_name,text_max_features,text_min_df,text_svd_components,category_min_count
2,0.4244680444930379,0.4244680444930379,0.3156734440714268,0.4178838156628056,0.31478414072039884,0.006584228830232297,26,96,6e-05,7e-05,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,12
11,0.42896592149998397,0.42896592149998397,0.3188203203267065,0.42457860601437386,0.31315441343693995,0.00438731548561011,18,64,6.5e-05,7e-05,"[128, 64]",0.1,huber,layernorm,silu,3000,3,48,16
20,0.4296064805343357,0.4296064805343357,0.3284441696599199,0.4232467464142421,0.3202321827902629,0.0063597341200936075,35,64,5.5e-05,7e-05,"[96, 48]",0.18,huber,layernorm,silu,3000,3,40,10
1,0.4335540522758881,0.4331108941133195,0.3310776144412938,0.4208951033004763,0.3192219357121325,0.012215790812843186,35,64,3e-05,0.0001,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,12
14,0.4373508573915,0.4373508573915,0.3280342917136958,0.4331678475829382,0.32325561199785263,0.004183009808561788,30,64,3e-05,7e-05,"[128, 64, 32]",0.15,huber,layernorm,silu,3000,3,40,12
17,0.4380575897556733,0.4380575897556733,0.3286747932434082,0.4357575761894357,0.3277164691755367,0.002300013566237602,23,64,6e-05,0.0001,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,32,10
7,0.4433168549644555,0.4433168549644555,0.33463381663919084,0.44125713039118825,0.3428954339695134,0.002059724573267252,27,64,5e-05,7e-05,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,32,16
13,0.4457895461583417,0.4447094481627657,0.3380879897789415,0.4293089581848856,0.32058515265903126,0.015400489977880072,35,96,5.5e-05,7e-05,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,40,16
4,0.44627962167065965,0.44627962167065965,0.3368933318283758,0.44451755585003966,0.3345386581326631,0.0017620658206199957,35,64,6e-05,0.0002,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,32,10
10,0.4465444041657893,0.4439493542358531,0.3342562825808971,0.42097410458617196,0.3132713277021782,0.022975249649681118,35,96,6e-05,0.0002,"[96, 48]",0.12,huber,layernorm,silu,3000,3,32,16
6,0.44767887845547705,0.4466483744598836,0.33436937989859744,0.43149585448191624,0.3235672345075026,0.01515251997796735,35,64,6.5e-05,0.00015,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,40,10
16,0.44793740210734606,0.4450009596661216,0.3338562526139133,0.42031874745999925,0.3157527454602463,0.024682212206122323,35,64,6.5e-05,0.00015,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,32,12
15,0.451467916946726,0.451467916946726,0.3461930951461416,0.44661014156621553,0.33450452224819427,0.004857775380510465,35,64,6.5e-05,0.0002,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,40,10
12,0.45395225943261014,0.45395225943261014,0.353946703408152,0.452300965422707,0.34767492599110233,0.0016512940099031592,13,96,6.5e-05,0.0002,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,32,16
19,0.4583172778954643,0.4583172778954643,0.3553970881870815,0.4587529546379301,0.3504687962068561,-0.000435676742465807,35,64,3e-05,7e-05,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,40,16
9,0.46172394781906806,0.4603774893759342,0.3546591521483924,0.443645197160265,0.3343339147049277,0.016732292215669187,35,96,5.5e-05,7e-05,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,48,16
18,0.47124649504564975,0.47098347246043626,0.3688862312016229,0.45966835953436874,0.35232391074618946,0.011315112926067517,35,64,2e-05,0.0001,"[96, 48]",0.12,huber,layernorm,silu,3000,3,32,10
3,0.47382414525185085,0.47382414525185085,0.3695358219992351,0.47356374758980446,0.3686474390831182,0.0002603976620463855,35,96,2e-05,0.00015,"[128, 64]",0.18,huber,layernorm,silu,3000,3,40,12
5,0.4760149945475521,0.4748333726152475,0.3562604288749507,0.4589252629537246,0.3434762125942224,0.015908109661522896,35,64,2e-05,0.0002,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,12
8,0.550434132222975,0.5461607333656773,0.4175783589555712,0.5147937390791886,0.3975321869480944,0.0313669942864887,35,96,2e-05,0.0001,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,32,10
