trial_id,objective_score,best_val_rmse,best_val_mae,best_train_rmse,best_train_mae,generalization_gap,best_epoch,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,norm_name,activation_name,text_max_features,text_min_df,text_svd_components,category_min_count
143,0.0032172675649686233,0.0032172675649686233,0.0006903462809294903,0.004243160120107476,0.0006989920158951837,-0.001025892555138853,35,64,6e-05,7e-05,"[128, 64, 32, 16]",0.15,huber,layernorm,silu,3000,3,48,16
98,0.003666539001683778,0.003666539001683778,0.0007919396085692157,0.003707855936799834,0.0007083535783569739,-4.131693511605578e-05,35,96,6e-05,0.0001,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,40,10
113,0.004014557769591396,0.004014557769591396,0.00028176671765707984,0.001737355052447106,8.439683835628202e-05,0.00227720271714429,1,96,5e-05,0.00015,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,48,12
124,0.004602497156564363,0.004602497156564363,0.0008066311258400602,0.005166955617511533,0.0010042092356296899,-0.0005644584609471705,35,96,5.5e-05,0.0001,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,32,10
129,0.005726206493405183,0.005726206493405183,0.0004019009068681689,0.002583948374356435,0.00014803378153868522,0.003142258119048748,1,64,4e-05,0.00015,"[96, 48]",0.15,huber,layernorm,silu,3000,3,48,16
180,0.005898462218080345,0.005898462218080345,0.0015405116997328884,0.00618210556499684,0.0013353971908669888,-0.0002836433469164956,35,96,6e-05,7e-05,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,48,16
9,0.007120604998945352,0.007120604998945352,0.0012992732043336766,0.006206430917182045,0.0011453879920419005,0.0009141740817633064,35,96,5.5e-05,7e-05,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,48,16
162,0.009931427930590594,0.009931427930590594,0.0022781817196625208,0.009269703148385986,0.0018198468539820864,0.0006617247822046073,35,96,5.5e-05,0.00015,"[128, 64, 32, 16]",0.15,huber,layernorm,silu,3000,3,32,16
17,0.010889440872950427,0.010889440872950427,0.0038098261274140456,0.01249963427601004,0.004332670073532783,-0.0016101934030596128,35,64,6e-05,0.0001,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,32,10
102,0.012353356244305712,0.012353356244305712,0.005263713193057206,0.0167989028672008,0.007478523097281794,-0.0044455466228950895,22,64,6e-05,0.00015,"[128, 64, 32, 16, 8]",0.12,huber,layernorm,silu,3000,3,40,12
21,0.012418381689635674,0.012418381689635674,0.005026612962995257,0.011780022994090849,0.0041140154912405,0.0006383586955448252,31,64,6e-05,0.0002,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,40,10
16,0.012565981600126142,0.012565981600126142,0.004125667910270503,0.015250345624127689,0.005368762982539722,-0.002684364024001547,28,64,6.5e-05,0.00015,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,32,12
142,0.012888603749903462,0.012888603749903462,0.001888851226844224,0.018898426905661077,0.003277022716830158,-0.006009823155757614,1,64,6.5e-05,7e-05,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,48,12
69,0.0136907307551673,0.0136907307551673,0.004202904372379698,0.011373219357071526,0.002983377439382638,0.0023175113980957746,35,64,5.5e-05,0.00015,"[128, 64, 32, 16, 8]",0.12,huber,layernorm,silu,3000,3,40,16
25,0.01466240583533038,0.01466240583533038,0.004283959055181794,0.018727526786137177,0.005400245036481829,-0.004065120950806798,33,96,4e-05,0.00015,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,32,16
78,0.015543197948864424,0.015543197948864424,0.007068297545898137,0.013818487603667768,0.00569425324435289,0.0017247103451966568,24,64,5.5e-05,0.00015,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,40,16
183,0.018779702040640785,0.018779702040640785,0.005731213268975319,0.02099531569760841,0.006666931524700938,-0.0022156136569676244,13,64,6.5e-05,0.0002,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,48,16
145,0.01935377813342809,0.01935377813342809,0.005407639912196568,0.015880647453300787,0.004085522507128645,0.003473130680127303,32,96,6.5e-05,0.00015,"[128, 64, 32]",0.15,huber,layernorm,silu,3000,3,32,12
12,0.019855741216922813,0.019855741216922813,0.007684559070418034,0.01907309826409979,0.007264713282640133,0.0007826429528230219,35,96,6.5e-05,0.0002,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,32,16
197,0.0200649738114951,0.0200649738114951,0.009937168342139334,0.019477255316268764,0.010299895504946763,0.0005877184952263366,35,64,5e-05,0.00015,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,48,16
130,0.02062701748348991,0.02062701748348991,0.0014477328126653662,0.0179793011645873,0.0014459499613653495,0.0026477163189026105,1,96,4e-05,0.00015,"[128, 64, 32, 16]",0.15,huber,layernorm,silu,3000,3,48,10
189,0.021406319859456863,0.021406319859456863,0.007255204792680411,0.02681707923699635,0.009454204576608572,-0.005410759377539487,35,96,5e-05,7e-05,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,10
148,0.02320017212223842,0.02320017212223842,0.009042493228254646,0.018441257418279688,0.008506382906063778,0.004758914703958731,14,64,5.5e-05,7e-05,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,32,10
103,0.024126766285824577,0.024126766285824577,0.00983447570518907,0.023209073796928822,0.009329998120051829,0.0009176924888957549,35,96,6e-05,7e-05,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,40,10
15,0.024414296780265226,0.024414296780265226,0.014165562949157114,0.02369974770188315,0.015012618737322887,0.000714549078382077,35,64,6.5e-05,0.0002,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,40,10
133,0.02520953864617488,0.02520953864617488,0.009164832495703486,0.023876988648323993,0.008521837496875342,0.0013325499978508876,35,64,4e-05,7e-05,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,16
168,0.026413062499271448,0.026413062499271448,0.011551314974066073,0.023244469253015144,0.011169296709277484,0.0031685932462563043,34,64,6.5e-05,0.0002,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,40,16
38,0.027052514719100675,0.027052514719100675,0.004420718536001121,0.03103401708592719,0.005296745449550069,-0.003981502366826515,1,96,5e-05,0.00015,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,48,12
191,0.028144495669653796,0.028144495669653796,0.012303337087772162,0.029488175941309803,0.01361720919412679,-0.0013436802716560066,25,64,6.5e-05,0.0001,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,16
136,0.028511245737681743,0.028511245737681743,0.01126011721606325,0.027145203564438267,0.01008941019582984,0.0013660421732434765,34,96,5.5e-05,0.0002,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,32,16
35,0.028896580563150986,0.028896580563150986,0.016338509879088754,0.03065409217572851,0.017662232554528427,-0.0017575116125775232,35,64,4e-05,0.0001,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,32,12
100,0.028922632980760858,0.028922632980760858,0.005466209843828173,0.020112019222290188,0.0038633556695903547,0.00881061375847067,1,96,3e-05,7e-05,"[128, 64, 32, 16, 8]",0.12,huber,layernorm,silu,3000,3,40,10
156,0.030485889386040275,0.030485889386040275,0.014326407991606614,0.031418338295024745,0.01633894129286488,-0.0009324489089844699,35,96,6.5e-05,0.0001,"[128, 64, 32, 16, 8]",0.12,huber,layernorm,silu,3000,3,32,10
198,0.03064834615868056,0.03064834615868056,0.016215679093534722,0.025131745893650678,0.012767533493984668,0.005516600265029883,29,96,6e-05,0.0001,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,48,16
170,0.031143988060424243,0.031143988060424243,0.013919281254848237,0.027582189939637514,0.011709440088350651,0.0035617981207867293,27,64,5e-05,0.00015,"[128, 64, 32, 16]",0.18,huber,layernorm,silu,3000,3,40,12
118,0.031412990236413196,0.031412990236413196,0.014651945659092494,0.028505984004566227,0.013441111346249526,0.002907006231846969,35,96,5e-05,7e-05,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,32,16
47,0.03183976768642263,0.03183976768642263,0.014987520396415823,0.028813673713105403,0.013347724713446477,0.0030260939733172294,21,64,5.5e-05,0.0001,"[128, 64]",0.1,huber,layernorm,silu,3000,3,48,10
85,0.03230973712145945,0.03181505149550859,0.010399657517231157,0.019341623365754287,0.009037246814080479,0.012473428129754303,32,64,6.5e-05,0.0001,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,32,12
112,0.03348006763083142,0.03348006763083142,0.012588944341161569,0.02433204263916539,0.008463520980156234,0.009148024991666028,33,64,6.5e-05,0.0002,"[96, 48]",0.1,huber,layernorm,silu,3000,3,48,12
173,0.033619439288355236,0.033619439288355236,0.013369510326479456,0.03186700786513361,0.011864655296727892,0.0017524314232216232,33,64,5.5e-05,0.00015,"[128, 64, 32]",0.18,huber,layernorm,silu,3000,3,40,10
34,0.03414970502865774,0.03414970502865774,0.01336929011227462,0.032985227223985183,0.013310858602382403,0.0011644778046725549,33,64,5e-05,0.0002,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,16
105,0.03493995201050203,0.03493995201050203,0.006909886604459415,0.042421842543242216,0.010337486887685156,-0.007481890532740183,1,64,5e-05,0.00015,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,40,10
163,0.03559581386000601,0.03559581386000601,0.024117159138759368,0.03307806964556561,0.022637210332188615,0.0025177442144403983,35,64,6.5e-05,7e-05,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,40,10
97,0.035679381055867085,0.035679381055867085,0.007088262459327434,0.043573859478112036,0.010084226064666295,-0.00789447842224495,1,64,6e-05,0.0002,"[96, 48]",0.12,huber,layernorm,silu,3000,3,48,16
40,0.035857368398104744,0.035857368398104744,0.013432195033933142,0.03686203079149024,0.013267582684411642,-0.0010046623933854942,31,64,6e-05,0.0002,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,10
81,0.036892406123170844,0.036892406123170844,0.01689363230625397,0.030726633647044494,0.01340493201423909,0.00616577247612635,30,96,5.5e-05,0.00015,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,12
26,0.037382017385913804,0.037382017385913804,0.020931724257069854,0.036332508213573284,0.021819145714824243,0.0010495091723405209,35,64,5.5e-05,0.0002,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,32,12
184,0.038402363412487726,0.038402363412487726,0.020986960439259194,0.03980253315603258,0.02211363979383591,-0.0014001697435448504,30,96,6e-05,0.00015,"[128, 64, 32, 16]",0.1,huber,layernorm,silu,3000,3,48,10
13,0.03845225473272074,0.03845225473272074,0.01924881265668446,0.04069699780029822,0.02185234363625038,-0.0022447430675774788,35,96,5.5e-05,7e-05,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,40,16
167,0.03868561794824659,0.03868561794824659,0.01566974635194675,0.04057201957355998,0.016975500241928478,-0.0018864016253133872,35,64,3e-05,0.0002,"[128, 64, 32, 16]",0.15,huber,layernorm,silu,3000,3,48,12
131,0.04112601223221101,0.04112601223221101,0.02634993797452579,0.03974978256402839,0.026397553660724268,0.00137622966818262,35,64,5e-05,7e-05,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,32,10
39,0.043700435636414875,0.043700435636414875,0.02236556537045634,0.045476417863243086,0.023675125945341057,-0.0017759822268282113,35,64,5e-05,0.0002,"[128, 64]",0.15,huber,layernorm,silu,3000,3,48,10
43,0.04383859049816749,0.04383859049816749,0.021903908898677733,0.044388511954082985,0.020284650549660797,-0.0005499214559154947,20,64,6e-05,0.0002,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,48,12
2,0.04547899932641922,0.04547899932641922,0.023963275801372058,0.039150312801062716,0.018107600424199365,0.006328686525356501,33,96,6e-05,7e-05,"[128, 64]",0.1,huber,layernorm,silu,3000,3,40,12
177,0.0458715319934699,0.0458715319934699,0.021704808831802144,0.03947536815753622,0.017027653225956875,0.00639616383593368,35,64,3e-05,0.0001,"[96, 48]",0.18,huber,layernorm,silu,3000,3,48,10
117,0.046012933491878384,0.046012933491878384,0.007883524072581324,0.050681461828542856,0.008241223739045848,-0.004668528336664472,1,96,4e-05,0.00015,"[96, 48]",0.18,huber,layernorm,silu,3000,3,40,16
48,0.046465401375024105,0.046465401375024105,0.02520984440601518,0.04379148664096542,0.022402460335506837,0.0026739147340586883,35,64,5e-05,0.0001,"[96, 48]",0.12,huber,layernorm,silu,3000,3,32,10
179,0.049373688944154774,0.049373688944154774,0.028187134583008113,0.04860841730201044,0.028110213295435393,0.0007652716421443356,23,64,6e-05,0.00015,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,32,16
141,0.049463955863026376,0.0491247648687779,0.016012047311942567,0.03742880989753552,0.01400203484876152,0.01169595497124238,35,64,2e-05,0.0002,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,48,10
46,0.050643140078670795,0.050643140078670795,0.03315092307593435,0.04800017336019476,0.029746842148669274,0.002642966718476032,35,96,2e-05,0.00015,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,48,16
31,0.05076523830564412,0.05076523830564412,0.024949180668797987,0.04827891124690177,0.022718061332451255,0.0024863270587423478,35,96,6.5e-05,0.0001,"[96, 48]",0.12,huber,layernorm,silu,3000,3,32,16
86,0.05151710277014762,0.05151710277014762,0.029797205196812823,0.05160943399058432,0.030984064499668076,-9.233122043669773e-05,27,96,5e-05,0.00015,"[128, 64, 32, 16]",0.12,huber,layernorm,silu,3000,3,48,12
181,0.0519823417067933,0.0519823417067933,0.022905335050498323,0.0564133773817115,0.025147732242917307,-0.0044310356749182045,25,64,6e-05,0.0002,"[128, 64]",0.15,huber,layernorm,silu,3000,3,32,16
158,0.053133420035450976,0.053133420035450976,0.017343302665672865,0.06894684120556085,0.022552140658534142,-0.01581342117010988,1,64,2e-05,7e-05,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,32,12
186,0.053877320794345554,0.053877320794345554,0.009257230852625052,0.0633214469618605,0.011814640420665459,-0.009444126167514943,1,96,6.5e-05,0.0002,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,32,16
182,0.05451850048495504,0.05451850048495504,0.02881094622494552,0.04625254795181751,0.024232259299452653,0.008265952533137527,35,64,5e-05,0.0001,"[128, 64]",0.15,huber,layernorm,silu,3000,3,48,16
106,0.054589957410693106,0.054589957410693106,0.032395284751365924,0.044669054453059354,0.02375008855659447,0.009920902957633752,35,96,5e-05,7e-05,"[128, 64, 32]",0.15,huber,layernorm,silu,3000,3,32,10
24,0.054695031020857245,0.054695031020857245,0.027046873651701827,0.05428456865347284,0.027999299951204554,0.00041046236738440794,25,96,6.5e-05,0.00015,"[96, 48]",0.1,huber,layernorm,silu,3000,3,40,10
196,0.05582886194978108,0.05582886194978108,0.020457028168175607,0.05162878440099115,0.020774867428586353,0.004200077548789934,30,64,6.5e-05,0.0001,"[128, 64]",0.12,huber,layernorm,silu,3000,3,48,10
14,0.05621513702717477,0.05621513702717477,0.024211853008552137,0.06922948050462209,0.026745239631740816,-0.013014343477447322,35,64,3e-05,7e-05,"[128, 64, 32]",0.15,huber,layernorm,silu,3000,3,40,12
60,0.056220754896255894,0.056220754896255894,0.03155967872131047,0.0558646951983663,0.031137695226087996,0.0003560596978895922,31,64,5.5e-05,7e-05,"[128, 64, 32, 16]",0.15,huber,layernorm,silu,3000,3,32,10
169,0.05622792692299431,0.05622792692299431,0.013778078144994276,0.11034099725761268,0.031955650060927064,-0.05411307033461837,1,64,5e-05,7e-05,"[128, 64, 32, 16, 8]",0.18,huber,layernorm,silu,3000,3,32,10
11,0.056505363971434755,0.056505363971434755,0.025907985095320076,0.05844981026966218,0.024775316923414857,-0.0019444462982274244,17,64,6.5e-05,7e-05,"[128, 64]",0.1,huber,layernorm,silu,3000,3,48,16
99,0.056646671327674,0.056646671327674,0.0300113632173961,0.06019148121705498,0.03047810904865799,-0.0035448098893809815,35,96,6e-05,0.00015,"[128, 64, 32, 16, 8]",0.15,huber,layernorm,silu,3000,3,48,12
93,0.05698686569302916,0.056564511536794114,0.011866829078185735,0.04445274075561887,0.008790473372382427,0.012111770781175243,1,64,6.5e-05,0.00015,"[128, 64]",0.15,huber,layernorm,silu,3000,3,40,16
160,0.05700634456293593,0.05700634456293593,0.03178890937654843,0.05600134392151701,0.029665153737515947,0.001005000641418917,35,96,4e-05,0.0001,"[128, 64, 32, 16, 8]",0.1,huber,layernorm,silu,3000,3,32,10
52,0.057166152603121495,0.057166152603121495,0.025765685612344977,0.05059741264336568,0.020863577600758788,0.0065687399597558135,32,96,6e-05,0.0002,"[96, 48]",0.1,huber,layernorm,silu,3000,3,48,12
