trial,config_key,best_epoch,val_rmse,val_mae,target_hit,weight_decay,use_batchnorm,round_to_half,patience,max_epochs,loss_name,learning_rate,hidden_layers,dropout,batch_size
4,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",28,0.4458688138795205,0.352888822555542,0,1e-05,True,False,25,250,huber,0.001,"[128, 128, 64]",0.05,32
3,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0001}",49,0.44598299712649275,0.36016181111335754,0,0.0001,False,False,25,250,mse,0.0005,"[256, 128]",0.05,64
6,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",36,0.4466410778257548,0.36039242148399353,0,0.0,True,False,20,200,mse,0.001,"[128, 64]",0.0,64
8,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 200, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0}",18,0.4517784499861151,0.3585633337497711,0,0.0,False,False,25,200,huber,0.001,"[128, 64]",0.05,32
17,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [256, 128], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",62,0.4536089450394871,0.36533135175704956,0,0.0,True,False,20,200,mse,0.001,"[256, 128]",0.15,32
1,"{""batch_size"": 32, ""dropout"": 0.0, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": false, ""weight_decay"": 1e-05}",16,0.45414754983349603,0.32749998569488525,0,1e-05,False,True,25,250,huber,0.001,"[128, 128, 64]",0.0,32
12,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",33,0.4559406244067624,0.37075623869895935,0,0.0,True,False,15,200,mse,0.0005,"[256, 128]",0.15,32
10,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 1e-06}",35,0.45642927253429655,0.36820822954177856,0,1e-06,False,False,20,150,mse,0.0005,"[128, 128, 64]",0.05,64
20,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256, 128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",38,0.4565920063957,0.3685086965560913,0,1e-06,True,False,25,150,mse,0.0005,"[256, 128, 64]",0.05,64
19,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 300, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",34,0.45735696450949986,0.36183682084083557,0,1e-06,True,False,15,300,huber,0.001,"[128, 128, 64]",0.15,64
2,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 300, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",35,0.45744213968241554,0.36799317598342896,0,1e-06,True,False,15,300,mse,0.0005,"[128, 64]",0.15,32
7,"{""batch_size"": 64, ""dropout"": 0.1, ""hidden_layers"": [128, 64], ""learning_rate"": 0.0003, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0}",13,0.45773803639156135,0.37032055854797363,0,0.0,False,False,20,250,mse,0.0003,"[128, 64]",0.1,64
18,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [128, 64], ""learning_rate"": 0.0003, ""loss_name"": ""mse"", ""max_epochs"": 300, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",19,0.4583327354802943,0.3660051226615906,0,1e-05,True,False,15,300,mse,0.0003,"[128, 64]",0.15,64
9,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0003, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": false, ""weight_decay"": 1e-05}",50,0.4609772293296758,0.33000001311302185,0,1e-05,False,True,25,250,huber,0.0003,"[256, 128]",0.1,32
24,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",59,0.46177364739471943,0.37131255865097046,0,1e-06,True,False,20,200,mse,0.0005,"[128, 64]",0.15,32
21,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""huber"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",17,0.4623310553795533,0.3375000059604645,0,1e-06,True,True,25,150,huber,0.0005,"[128, 128, 64]",0.15,32
15,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [256, 128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",6,0.46368092863118565,0.33000001311302185,0,1e-06,True,True,25,250,huber,0.0005,"[256, 128, 64]",0.15,64
11,"{""batch_size"": 32, ""dropout"": 0.1, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0003, ""loss_name"": ""huber"", ""max_epochs"": 150, ""patience"": 15, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",3,0.4650268835069493,0.32749998569488525,0,1e-06,True,True,15,150,huber,0.0003,"[256, 128]",0.1,32
13,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0003, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 15, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 0.0}",3,0.4650268835069493,0.32749998569488525,0,0.0,True,True,15,250,mse,0.0003,"[256, 128]",0.15,64
22,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": false, ""weight_decay"": 1e-06}",37,0.4650268835069493,0.33250001072883606,0,1e-06,False,True,25,250,huber,0.0005,"[128, 64]",0.15,32
5,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0003, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",28,0.4650268835069493,0.3375000059604645,0,1e-06,True,True,25,150,mse,0.0003,"[256, 128]",0.15,64
23,"{""batch_size"": 32, ""dropout"": 0.0, ""hidden_layers"": [128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 0.0001}",16,0.4663689539324985,0.3499999940395355,0,0.0001,True,True,25,150,mse,0.0005,"[128, 64]",0.0,32
16,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.0003, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 15, ""round_to_half"": true, ""use_batchnorm"": false, ""weight_decay"": 0.0001}",9,0.4730221931702871,0.3425000011920929,0,0.0001,False,True,15,200,mse,0.0003,"[128, 128, 64]",0.05,32
14,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": true, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",29,0.4730221931702871,0.3474999964237213,0,1e-06,True,True,25,250,mse,0.0005,"[128, 128, 64]",0.05,64
