config_rank_stage1,repeat_seed,config_key,best_epoch,val_rmse,val_mae,target_hit,batch_size,learning_rate,weight_decay,hidden_layers,dropout,max_epochs,patience,use_batchnorm,loss_name,round_to_half
1,124,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",45,0.4473404134665244,0.35669344663619995,0,32,0.001,1e-05,"[128, 128, 64]",0.05,250,25,True,huber,False
1,224,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",13,0.4551666075513101,0.35613223910331726,0,32,0.001,1e-05,"[128, 128, 64]",0.05,250,25,True,huber,False
1,324,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",110,0.44266783772176266,0.3593864440917969,0,32,0.001,1e-05,"[128, 128, 64]",0.05,250,25,True,huber,False
2,124,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0001}",41,0.4498492087602414,0.365529328584671,0,64,0.0005,0.0001,"[256, 128]",0.05,250,25,False,mse,False
2,224,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0001}",16,0.4558829529457921,0.36733779311180115,0,64,0.0005,0.0001,"[256, 128]",0.05,250,25,False,mse,False
2,324,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256, 128], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0001}",20,0.45076647623535737,0.36256077885627747,0,64,0.0005,0.0001,"[256, 128]",0.05,250,25,False,mse,False
3,124,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",37,0.4446128904330695,0.36130499839782715,0,64,0.001,0.0,"[128, 64]",0.0,200,20,True,mse,False
3,224,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",68,0.44071940770168117,0.35831207036972046,0,64,0.001,0.0,"[128, 64]",0.0,200,20,True,mse,False
3,324,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",30,0.4524459683842643,0.36410531401634216,0,64,0.001,0.0,"[128, 64]",0.0,200,20,True,mse,False
4,124,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 200, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0}",41,0.44734740863014105,0.3571475148200989,0,32,0.001,0.0,"[128, 64]",0.05,200,25,False,huber,False
4,224,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 200, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0}",30,0.45098658468378305,0.35704153776168823,0,32,0.001,0.0,"[128, 64]",0.05,200,25,False,huber,False
4,324,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [128, 64], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 200, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": false, ""weight_decay"": 0.0}",89,0.45138637183376074,0.36041373014450073,0,32,0.001,0.0,"[128, 64]",0.05,200,25,False,huber,False
5,124,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [256, 128], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",37,0.44664911816889036,0.35604193806648254,0,32,0.001,0.0,"[256, 128]",0.15,200,20,True,mse,False
