config_rank_stage1,repeat_seed,config_key,best_epoch,val_rmse,val_mae,target_hit,batch_size,learning_rate,weight_decay,hidden_layers,dropout,max_epochs,patience,use_batchnorm,loss_name,round_to_half
1,124,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",23,0.4613669060178245,0.3705810606479645,0,64,0.0005,1e-06,[256],0.05,150,25,True,mse,False
1,224,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",73,0.4584834022918566,0.369375616312027,0,64,0.0005,1e-06,[256],0.05,150,25,True,mse,False
1,324,"{""batch_size"": 64, ""dropout"": 0.05, ""hidden_layers"": [256], ""learning_rate"": 0.0005, ""loss_name"": ""mse"", ""max_epochs"": 150, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",80,0.4464066598828243,0.36042049527168274,0,64,0.0005,1e-06,[256],0.05,150,25,True,mse,False
2,124,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",58,0.4572420041859236,0.37382903695106506,0,64,0.001,0.0,[64],0.0,200,20,True,mse,False
2,224,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",52,0.4530021073321827,0.36807921528816223,0,64,0.001,0.0,[64],0.0,200,20,True,mse,False
2,324,"{""batch_size"": 64, ""dropout"": 0.0, ""hidden_layers"": [64], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",63,0.4496124366901263,0.36535170674324036,0,64,0.001,0.0,[64],0.0,200,20,True,mse,False
3,124,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",125,0.4510783143899211,0.36661970615386963,0,32,0.001,0.0,[128],0.15,200,20,True,mse,False
3,224,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",112,0.44871964301498585,0.36421090364456177,0,32,0.001,0.0,[128],0.15,200,20,True,mse,False
3,324,"{""batch_size"": 32, ""dropout"": 0.15, ""hidden_layers"": [128], ""learning_rate"": 0.001, ""loss_name"": ""mse"", ""max_epochs"": 200, ""patience"": 20, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 0.0}",28,0.45343966903535804,0.3668810725212097,0,32,0.001,0.0,[128],0.15,200,20,True,mse,False
4,124,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [512], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",66,0.44851490110396397,0.3562104105949402,0,32,0.001,1e-05,[512],0.05,250,25,True,huber,False
4,224,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [512], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",49,0.4474531388654259,0.35746505856513977,0,32,0.001,1e-05,[512],0.05,250,25,True,huber,False
4,324,"{""batch_size"": 32, ""dropout"": 0.05, ""hidden_layers"": [512], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 250, ""patience"": 25, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-05}",52,0.44533537086515146,0.35738101601600647,0,32,0.001,1e-05,[512],0.05,250,25,True,huber,False
5,124,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [512], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 300, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",85,0.446768672004299,0.35700181126594543,0,64,0.001,1e-06,[512],0.15,300,15,True,huber,False
5,224,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [512], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 300, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",28,0.4520617375145242,0.3618461489677429,0,64,0.001,1e-06,[512],0.15,300,15,True,huber,False
5,324,"{""batch_size"": 64, ""dropout"": 0.15, ""hidden_layers"": [512], ""learning_rate"": 0.001, ""loss_name"": ""huber"", ""max_epochs"": 300, ""patience"": 15, ""round_to_half"": false, ""use_batchnorm"": true, ""weight_decay"": 1e-06}",52,0.4435295920955506,0.35498249530792236,0,64,0.001,1e-06,[512],0.15,300,15,True,huber,False
