trial_id,objective_score,best_val_rmse,best_val_mae,best_train_rmse,best_train_mae,generalization_gap,best_epoch,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,norm_name,activation_name,text_max_features,text_min_df,text_svd_components,category_min_count
49,0.506235150229982,0.506235150229982,0.3944567651459665,0.7230703683582297,0.5740749405276391,-0.2168352181282477,2,64,3e-05,5e-05,"[96, 48]",0.12,huber,layernorm,silu,3000,3,40,12
77,0.5165632293833069,0.5165632293833069,0.41709940866990525,0.584567335156736,0.4586009480436826,-0.06800410577342908,3,64,4e-05,0.0001,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,24,16
30,0.5175341709204654,0.5175341709204654,0.4018747156316584,0.5276636705989912,0.41270831194341456,-0.010129499678525833,9,64,4e-05,0.0002,"[128, 64, 32]",0.08,huber,layernorm,silu,3000,3,40,10
14,0.5234008256354117,0.5234008256354117,0.4151193539301554,0.5263479612825086,0.41202231126446875,-0.0029471356470969212,14,64,4e-05,0.0002,"[128, 64]",0.1,huber,layernorm,silu,3000,3,24,12
83,0.5251580747639005,0.5246648437077479,0.42407159516305637,0.504732533146222,0.3933673554576487,0.01993231056152589,25,96,3e-05,7e-05,"[160, 80]",0.08,huber,layernorm,silu,3000,3,32,12
93,0.5252376231941656,0.5252376231941656,0.4221889539198442,0.5800573653493339,0.45180250373304165,-0.05481974215516838,7,96,3e-05,0.0001,"[128, 64, 32]",0.1,huber,layernorm,silu,3000,3,24,12
96,0.527956938910127,0.527956938910127,0.40840683633630925,0.7454634444405603,0.5760863358523989,-0.21750650553043338,2,96,3e-05,5e-05,"[128, 64, 32]",0.08,huber,layernorm,silu,3000,3,24,10
24,0.5294362853639133,0.5294362853639133,0.4272819403446082,0.6319050505789117,0.49127183202224944,-0.10246876521499837,1,64,4e-05,0.00015,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,12
31,0.5303994508225145,0.5303994508225145,0.42253736727165453,0.5257998914652303,0.4114053751466461,0.0045995593572841775,15,96,4e-05,0.0001,"[128, 64, 32]",0.12,huber,layernorm,silu,3000,3,40,12
88,0.531765078886402,0.531765078886402,0.4242615100109216,0.5211845798175291,0.40797641442118704,0.010580499068872928,25,96,3e-05,0.0002,"[160, 80]",0.15,huber,layernorm,silu,3000,3,40,10
40,0.5321320764786827,0.5321320764786827,0.42296556414979875,0.5473247526664486,0.4339948941485673,-0.015192676187765985,6,96,4e-05,7e-05,"[160, 80]",0.12,huber,layernorm,silu,3000,3,32,10
37,0.5326496581385556,0.5324838865664709,0.4211549318198002,0.5158261708456241,0.40680901317552487,0.016657715720846844,14,64,4e-05,5e-05,"[160, 80]",0.1,huber,layernorm,silu,3000,3,32,10
72,0.5340398898647261,0.5332926393849412,0.4251907088539817,0.5108201345870931,0.3988162110203422,0.022472504797848125,39,96,3e-05,0.0002,"[128, 64]",0.12,huber,layernorm,silu,3000,3,32,12
97,0.5348075899882238,0.5348075899882238,0.43314509680776886,0.5262029169922356,0.41321295315768863,0.008604672995988105,15,64,3e-05,0.00015,"[128, 64]",0.08,huber,layernorm,silu,3000,3,40,12
11,0.5349175149567772,0.5349175149567772,0.427642315084284,0.5425015259571188,0.4252510215829594,-0.007584011000341562,9,96,6e-05,0.0001,"[96, 48]",0.1,huber,layernorm,silu,3000,3,24,10
