trial,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,use_batchnorm,best_epoch,val_rmse,val_mae
144,128,0.0002,0.005,"[128, 64]",0.25,mse,True,1,0.49435291011824145,0.3859326485955753
131,64,0.0005,0.03,"[256, 512]",0.2,mse,True,5,0.4998789630756866,0.397573791467805
82,16,0.0007,0.003,"[128, 256]",0.1,mse,True,5,0.5003870223713375,0.40468630956174445
92,128,0.0007,0.03,"[256, 512]",0.2,mse,True,6,0.5004378670103242,0.40888659435115776
8,64,0.0002,0.03,"[128, 256]",0.1,mse,True,7,0.5045399723239193,0.4077601011619207
1,128,0.0006,0.004,"[256, 512]",0.25,mse,True,7,0.5060774804921659,0.40552982546929683
198,32,0.0003,0.007,"[256, 512]",0.1,mse,True,5,0.5070547677351736,0.40067384070026385
167,16,0.0004,0.004,"[256, 512]",0.3,mse,True,10,0.5094378001590298,0.41541461237597543
184,128,0.0006,0.007,"[128, 64]",0.15,mse,True,2,0.5096167315633825,0.40315058103495216
164,64,0.0005,0.007,"[256, 512]",0.3,mse,True,6,0.5097379689103609,0.40745139197220187
158,16,0.0006,0.003,"[128, 256]",0.15,mse,True,9,0.5102262453433717,0.4155419594857971
33,32,0.0006,0.03,"[256, 512]",0.3,mse,True,3,0.5106061807890488,0.4106632775688773
5,32,0.0007,0.007,"[128, 256]",0.25,mse,True,5,0.5109987557423894,0.4080637343674428
65,16,0.0003,0.004,"[128, 256]",0.2,mse,True,6,0.5114059076129104,0.4013874997099867
160,32,0.0002,0.04,"[256, 512]",0.15,mse,True,9,0.5125714428934766,0.4114834600442592
104,16,0.0006,0.003,"[128, 256]",0.2,mse,True,1,0.513367427845933,0.4113502412188316
93,16,0.0006,0.04,"[128, 256]",0.15,mse,True,7,0.51340968140459,0.4099465025712263
90,16,0.0007,0.04,"[256, 512]",0.25,mse,True,19,0.5142759612288099,0.40821085367293014
61,32,0.0004,0.03,"[256, 512]",0.25,mse,True,5,0.5146426472327394,0.41054688643205806
168,32,0.0003,0.04,"[128, 64]",0.2,mse,True,7,0.5147327870975942,0.41037548829328374
2,16,0.0006,0.004,"[256, 512]",0.25,mse,True,4,0.5151591959385544,0.41058745895650484
24,64,0.0004,0.01,"[128, 256]",0.3,mse,True,2,0.5154375975623765,0.41765965798675825
185,32,0.0007,0.04,"[128, 256]",0.3,mse,True,4,0.515621301396696,0.41122300617326324
163,16,0.0002,0.005,"[256, 512]",0.15,mse,True,4,0.5161940103906228,0.4075251302508526
170,16,0.0004,0.007,"[32, 64]",0.25,mse,True,6,0.5163327965885967,0.41061169491957417
28,32,0.0007,0.03,"[32, 64]",0.25,mse,True,8,0.5165323070090424,0.4126943270866803
151,16,0.0004,0.007,"[32, 64]",0.1,mse,True,1,0.5166688449997978,0.41726760458118906
180,16,0.0007,0.03,"[32, 64]",0.2,mse,True,5,0.5168366999308606,0.4058103862245
11,32,0.0002,0.007,"[256, 512]",0.2,mse,True,4,0.5168983496657282,0.40927047082678375
200,16,0.0006,0.007,"[32, 64]",0.25,mse,True,14,0.5172194697193864,0.40752375464334095
31,32,0.0002,0.004,"[128, 256]",0.3,mse,True,8,0.517485197822507,0.41043312542069976
39,64,0.0007,0.005,"[128, 256]",0.3,mse,True,3,0.5174961316534867,0.4170810130868424
187,64,0.0007,0.005,"[256, 512]",0.25,mse,True,5,0.5175038624591631,0.41767014389158424
91,64,0.0004,0.005,"[128, 64]",0.1,mse,True,4,0.5175085212926507,0.41154454258338136
40,16,0.0003,0.003,"[128, 64]",0.3,mse,True,5,0.51770232255811,0.42099616655415917
177,128,0.0007,0.004,"[128, 256]",0.1,mse,True,3,0.5182442617718799,0.4111850141350779
96,16,0.0005,0.004,"[256, 512]",0.25,mse,True,4,0.518557441921145,0.41228270079435236
108,64,0.0005,0.003,"[256, 512]",0.25,mse,True,11,0.5190156350556892,0.41658808605904085
75,32,0.0006,0.01,"[32, 64]",0.1,mse,True,65,0.5192563387163033,0.415465312801325
105,128,0.0002,0.005,"[128, 64]",0.1,mse,True,1,0.5197051050944665,0.41084489085320797
110,128,0.0004,0.01,"[32, 64]",0.25,mse,True,6,0.5199518450328523,0.40909460591216945
191,32,0.0005,0.005,"[128, 64]",0.1,mse,True,11,0.5201913809101741,0.41385969152961993
58,16,0.0005,0.005,"[32, 64]",0.15,mse,True,8,0.5205242873938477,0.41607562751047994
154,16,0.0005,0.004,"[128, 256]",0.25,mse,True,12,0.5206317508328611,0.42010680884592916
181,64,0.0006,0.007,"[128, 256]",0.25,mse,True,11,0.5208243953403794,0.4229241019167735
84,32,0.0003,0.04,"[256, 512]",0.25,mse,True,1,0.5211367812104755,0.4074125297438083
