trial,batch_size,learning_rate,weight_decay,hidden_layers,dropout,loss_name,norm_name,activation_name,best_epoch,val_rmse,val_mae
11,32,3e-05,5e-05,"[192, 96, 48]",0.0,mse,layernorm,silu,6,0.5171138939408367,0.41968783465298737
8,32,0.0001,2e-05,"[192, 96, 48]",0.02,huber,layernorm,silu,2,0.5193279718636666,0.41662776181192107
18,32,0.0001,5e-05,"[160, 80, 40]",0.0,mse,layernorm,silu,4,0.5231153820143906,0.41522909438971317
19,32,7e-05,5e-05,"[128, 64, 32]",0.02,mse,layernorm,silu,4,0.525541217870766,0.42501728679194595
1,64,0.0001,5e-05,"[192, 96, 48]",0.03,mse,layernorm,silu,12,0.5264030815430278,0.4259073662035393
2,64,0.0001,2e-05,"[128, 64, 32]",0.05,mse,layernorm,silu,12,0.5306943661335809,0.42268293192892364
3,32,0.0001,2e-05,"[128, 64, 32]",0.02,huber,layernorm,silu,2,0.5313323830335691,0.4172165921240142
15,64,0.0001,1e-05,"[128, 64, 32]",0.0,mse,layernorm,silu,10,0.5324015573440546,0.4286100365898826
13,64,7e-05,1e-05,"[128, 64, 32]",0.0,mse,layernorm,silu,2,0.5327653256585142,0.4261689019925667
14,64,0.0001,2e-05,"[192, 96, 48]",0.03,mse,layernorm,silu,4,0.5327921193849605,0.4335979851809415
20,64,7e-05,2e-05,"[192, 96, 48]",0.02,mse,layernorm,silu,6,0.5349813290425315,0.435775899887085
12,32,3e-05,5e-05,"[128, 64, 32]",0.0,mse,layernorm,silu,8,0.5354801460035532,0.42418793403741084
9,32,0.0001,2e-05,"[192, 96, 48]",0.0,huber,layernorm,silu,1,0.5366157558476066,0.4342679030967481
7,32,7e-05,1e-05,"[160, 80, 40]",0.03,mse,layernorm,silu,2,0.5369483831322243,0.42758384401148014
5,64,7e-05,1e-05,"[192, 96, 48]",0.0,mse,layernorm,silu,2,0.5394828667671586,0.42188563346862795
4,32,7e-05,1e-05,"[192, 96, 48]",0.05,huber,layernorm,silu,5,0.543962840890808,0.4335274342334632
16,32,7e-05,1e-05,"[160, 80, 40]",0.02,mse,layernorm,silu,8,0.5472553776977689,0.4342826460347031
22,64,7e-05,1e-05,"[160, 80, 40]",0.03,huber,layernorm,silu,3,0.5477817086141376,0.43988629182179767
6,64,0.0001,2e-05,"[160, 80, 40]",0.05,mse,layernorm,silu,7,0.5497933172326275,0.4434335658044526
24,64,0.0001,2e-05,"[160, 80, 40]",0.0,mse,layernorm,silu,11,0.5501634124632846,0.44309695489478834
23,32,5e-05,2e-05,"[160, 80, 40]",0.02,mse,layernorm,silu,3,0.5547723471722052,0.448868169929042
10,32,7e-05,2e-05,"[160, 80, 40]",0.02,mse,layernorm,silu,3,0.5574852414392969,0.44910098494905415
17,32,5e-05,5e-05,"[160, 80, 40]",0.02,huber,layernorm,silu,5,0.5615565875534241,0.45257248878479006
21,64,5e-05,2e-05,"[192, 96, 48]",0.03,huber,layernorm,silu,9,0.564717645846085,0.46170251513972427
