trial,best_epoch,best_val_rmse,batch_size,learning_rate,weight_decay,dropout,max_epochs,patience,hidden_layers
38,55,0.44545725092769606,32,0.001,0.0,0.05,250,20,"[256, 128]"
54,48,0.4454583548219734,32,0.003,0.001,0.1,250,10,"[256, 128]"
81,25,0.4458509335505008,64,0.005,1e-05,0.0,150,20,"[256, 128]"
79,29,0.4461419929566522,128,0.003,0.0001,0.05,200,10,"[128, 128, 64]"
1,26,0.4463291776228367,128,0.001,1e-05,0.1,100,20,"[256, 128, 64]"
35,27,0.4464984461051412,32,0.005,1e-05,0.05,200,10,"[256, 128, 64]"
22,35,0.44667735831016614,128,0.001,0.01,0.05,250,15,"[256, 128, 64]"
99,35,0.4467235428565348,32,0.005,0.001,0.05,100,10,"[128, 128, 64]"
51,22,0.446901181261017,32,0.003,0.01,0.0,100,10,"[128, 64]"
37,54,0.4475278626990281,128,0.001,0.001,0.2,150,20,"[256, 128]"
63,38,0.4475555146802496,32,0.003,0.001,0.0,200,10,"[512, 256, 128]"
72,18,0.4476144421612526,32,0.005,0.0001,0.05,250,25,"[512, 256, 128]"
69,20,0.44765382270088344,128,0.003,0.0001,0.0,300,10,"[128, 64]"
60,53,0.44794702057416563,32,0.003,1e-05,0.15,100,20,"[128, 64]"
48,56,0.4482772746928684,64,0.0003,0.0,0.0,300,25,"[256, 128]"
15,27,0.4483595218714706,64,0.01,0.01,0.05,300,20,"[128, 128, 64]"
49,29,0.44842061997919264,32,0.005,0.001,0.0,250,15,"[256, 128, 64]"
26,23,0.44848313847021715,64,0.0005,0.0,0.0,150,25,"[128, 128, 64]"
19,29,0.448524436100001,64,0.005,1e-06,0.05,300,10,"[256, 128, 64]"
6,31,0.44854998357456216,64,0.005,1e-05,0.2,300,25,"[256, 128, 64]"
88,27,0.44860655492287027,32,0.01,1e-06,0.1,150,15,"[512, 256, 128]"
41,63,0.4488673950757858,32,0.001,0.01,0.1,200,25,"[512, 256, 128]"
24,15,0.44921437136962494,128,0.005,1e-05,0.2,300,10,"[512, 256, 128]"
31,47,0.44923123881353294,32,0.0005,1e-06,0.0,300,15,"[128, 128, 64]"
55,25,0.4493745119147906,128,0.005,0.0,0.1,300,15,"[256, 128]"
100,39,0.44946851006786387,32,0.01,0.0,0.0,150,10,"[256, 128, 64]"
34,26,0.44969149054267044,32,0.01,0.0001,0.15,300,25,"[128, 128, 64]"
9,40,0.4497413249406371,128,0.003,1e-06,0.2,150,10,"[128, 64]"
5,24,0.44977187228705306,32,0.005,0.0,0.05,100,20,"[128, 128, 64]"
46,31,0.4498023844306745,32,0.001,0.001,0.15,300,25,"[256, 128, 64]"
28,40,0.44995390404271723,128,0.001,1e-06,0.0,200,20,"[128, 64]"
95,40,0.45006410420315573,32,0.001,1e-05,0.15,150,20,"[256, 128, 64]"
11,33,0.45008862073142564,64,0.005,0.0,0.25,250,15,"[256, 128, 64]"
82,52,0.4501214949522496,64,0.001,0.001,0.2,200,20,"[512, 256, 128]"
7,20,0.4502239590548233,32,0.005,0.001,0.1,100,25,"[256, 128]"
