kategori_produk,review,family_template,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,jumlah_lembar,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,jumlah_dimensi_x,panjang_nama,jumlah_token,nama_produk_normalized,split_grouped,has_box_dimension,has_roll_dimension,has_yard_dimension
Alat Pengemasan,3.0,tools,staples,joyko,lainnya,lainnya,lainnya,9.711176264112805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,23,4,isi staples kecil joyko,train,0,0,0
Peralatan Industri,4.0,plastik_hdpe,plastik hd,lainnya,lainnya,hd,lainnya,8.366602832783736,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,24,7,plastik hd 30 cm x 40 cm,train,0,0,0
Perekat,3.0,lakban,lakban,smilepack,coklat,lainnya,lainnya,9.200391041122517,0,0.0,45.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,1,39,8,lakban smilepack coklat 45 mm x 90 yard,train,0,0,1
Kardus Kemasan,3.0,kardus,kardus,lainnya,lainnya,bflute,lainnya,7.783640596221253,0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,20.0,21.0,9.298442820197728,0.0,0.0,0.0,0.0,1,0,0,0,2,43,11,kardus packing 26 cm x 20 cm x 21 cm bflute,train,1,0,0
Kemasan Pengiriman,3.0,polymailer,plastik,lainnya,putih,lainnya,lainnya,9.39274525863144,0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,38,8,plastik polymailer putih 40 cm x 55 cm,train,0,0,0
Pengikat,4.0,tali_rafia,lainnya,lainnya,hijau,lainnya,lainnya,13.51508226312797,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,21,4,tali rafia hijau 50kg,train,0,0,0
Perekat,4.0,lakban,lakban,deli,merah,lainnya,lainnya,8.999742789830492,0,0.0,48.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,75.0,0,0,0,0,1,50,10,lakban fresh vegetables merah deli 48 mm x 75 yard,train,0,0,1
Material Busa,3.5,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,12.963369990577007,0,0.0,4.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 4 mm,train,0,1,0
Perlengkapan Rumah,3.0,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,9.87822102528824,0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 60 cm x 90 cm,train,0,0,0
Pengikat,3.5,tali_rafia,lainnya,lainnya,hitam,lainnya,lainnya,9.105090961257083,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,20,4,tali rafia hitam 1kg,train,0,0,0
Perekat,3.5,lakban,lakban,yatta,bening,lainnya,lainnya,9.35018926709258,0,0.0,45.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,120.0,0,0,0,0,1,36,8,lakban yatta bening 45 mm x 120 yard,train,0,0,1
Kemasan Fleksibel,3.0,wrapping,wrapping,lainnya,bening,lainnya,lainnya,10.373522431293592,0,0.0,0.0,0.0,50.0,150.0,0.0,0.0,0.0,0.0,0.0,50.0,150.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 50 cm x 150 meter,train,0,1,0
Perekat,3.5,lakban,lakban,smilepack,merah,lainnya,lainnya,9.259225769705994,0,0.0,48.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,100.0,0,0,0,0,1,39,8,lakban smilepack merah 48 mm x 100 yard,train,0,0,1
Material Busa,4.0,pe_foam,pe foam,lainnya,lainnya,foam,lainnya,13.120363378739665,0,0.0,5.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,2,33,10,pe foam 125 cm x 250 meter x 5 mm,train,0,1,0
Perlengkapan Rumah,3.5,laundry_pp,plastik,lainnya,lainnya,pp,lainnya,8.612685172875459,0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,40,9,kantong plastik laundry pp 30 cm x 50 cm,train,0,0,0
Label,3.0,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.86858749601736,0,0.0,60.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,47,10,sticker thermal lipat 60 mm x 40 mm 1000 lembar,train,0,0,0
Kemasan Fleksibel,3.5,wrapping,wrapping,lainnya,bening,lainnya,lainnya,11.002116507732016,0,0.0,0.0,0.0,50.0,270.0,0.0,0.0,0.0,0.0,0.0,50.0,270.0,0.0,0.0,0,0,0,0,1,33,7,wrapping bening 50 cm x 270 meter,train,0,1,0
Pelindung Kemasan,3.5,bubble_wrap,bubble wrap,upack,bening,lainnya,lainnya,11.026808713825016,0,2.2,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack bening 2.2kg 30 cm x 25 meter,train,0,1,0
Pelindung Kemasan,4.5,bubble_wrap,bubble wrap,upack,bening,lainnya,lainnya,11.042937835596494,0,2.4,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0,0,0,0,1,47,10,bubble wrap upack bening 2.4kg 30 cm x 25 meter,train,0,1,0
Label,3.5,label_thermal,thermal,lainnya,lainnya,thermal,lembar,10.92415631759022,0,0.0,60.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,47,10,sticker thermal lipat 60 mm x 40 mm 1000 lembar,train,0,0,0
