ID_Produk_Sintetis,Nama Produk,Kategori Produk,Harga Produk,Review,Family_Template,kategori_grouped,jenis_produk,merek,warna,material,bentuk_kemasan,log_harga,is_non_brand,berat_kg,tebal_mm,tebal_micron,jumlah_pcs,jumlah_lembar,jumlah_roll,jumlah_set,ukuran_cm,panjang_meter,yard,box_panjang_cm,box_lebar_cm,box_tinggi_cm,log_volume_box_cm3,lebar_cm_roll,panjang_meter_roll,lebar_pair_yard,panjang_yard_pair,is_bflute,is_cflute,is_foam,is_kraft,is_roll,jumlah_dimensi_x,panjang_nama,jumlah_token,Review_Bin_Saran,Split_Saran,Nama_Produk_Normalized
SYN-2000-00001,Isi Staples Kecil Joyko,Alat Pengemasan,16500,3.0,tools,Alat Pengemasan,staples,joyko,lainnya,lainnya,lainnya,9.711176264112805,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,23,4,2.5-3,test,isi staples kecil joyko
SYN-2000-00002,Plastik PE 15 cm x 30 cm,Peralatan Industri,6900,1.5,plastik_hdpe,Peralatan Industri,plastik pe,lainnya,lainnya,pe,lainnya,8.839421607620602,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,24,7,1-2,test,plastik pe 15 cm x 30 cm
SYN-2000-00003,Kardus Packing 30 cm x 25 cm x 20 cm CFlute,Kardus Kemasan,4800,2.5,kardus,Kardus Kemasan,kardus,lainnya,lainnya,cflute,lainnya,8.476579508530941,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,25.0,20.0,9.61587214452889,0.0,0.0,0.0,0.0,0,1,0,0,0,2,43,11,2.5-3,train,kardus packing 30 cm x 25 cm x 20 cm cflute
SYN-2000-00004,Plastik HD 30 cm x 40 cm,Peralatan Industri,4300,4.0,plastik_hdpe,Peralatan Industri,plastik hd,lainnya,lainnya,hd,lainnya,8.366602832783736,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,24,7,3.5-4,train,plastik hd 30 cm x 40 cm
SYN-2000-00005,Lakban SmilePack Coklat 45 mm x 90 yard,Perekat,9900,3.0,lakban,Perekat,lakban,smilepack,coklat,lainnya,lainnya,9.200391041122515,0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,90.0,0,0,0,0,0,1,39,8,2.5-3,test,lakban smilepack coklat 45 mm x 90 yard
SYN-2000-00006,Kardus Packing 26 cm x 20 cm x 21 cm BFlute,Kardus Kemasan,2400,3.0,kardus,Kardus Kemasan,kardus,lainnya,lainnya,bflute,lainnya,7.783640596221253,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,20.0,21.0,9.298442820197728,0.0,0.0,0.0,0.0,1,0,0,0,0,2,43,11,2.5-3,test,kardus packing 26 cm x 20 cm x 21 cm bflute
SYN-2000-00007,Plastik Polymailer Putih 40 cm x 55 cm,Kemasan Pengiriman,12000,3.0,polymailer,Kemasan Pengiriman,plastik,lainnya,putih,lainnya,lainnya,9.392745258631441,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,38,8,2.5-3,test,plastik polymailer putih 40 cm x 55 cm
SYN-2000-00008,Tali Rafia Hijau 50kg,Pengikat,740500,4.0,tali_rafia,Pengikat,lainnya,lainnya,hijau,lainnya,lainnya,13.51508226312797,0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,21,4,3.5-4,test,tali rafia hijau 50kg
SYN-2000-00009,Lakban Fresh Vegetables Merah Deli 48 mm x 75 yard,Perekat,8100,4.0,lakban,Perekat,lakban,deli,merah,lainnya,lainnya,8.999742789830492,0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,75.0,0,0,0,0,0,1,50,10,3.5-4,train,lakban fresh vegetables merah deli 48 mm x 75 yard
SYN-2000-00010,PE Foam 125 cm x 250 meter x 4 mm,Material Busa,426500,3.5,pe_foam,Material Busa,pe foam,lainnya,lainnya,foam,lainnya,12.963369990577007,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0.0,0.0,0.0,125.0,250.0,0.0,0.0,0,0,1,0,0,2,33,10,3.5-4,test,pe foam 125 cm x 250 meter x 4 mm
