nama_produk_normalized,review_mean,review_std,review_count,review_min,review_max,log_harga_mean,log_harga_median,berat_kg_mean,berat_kg_median,tebal_mm_mean,tebal_mm_median,jumlah_lembar_mean,jumlah_lembar_median,ukuran_cm_mean,ukuran_cm_median,panjang_meter_mean,panjang_meter_median,yard_mean,yard_median,box_panjang_cm_mean,box_panjang_cm_median,box_lebar_cm_mean,box_lebar_cm_median,box_tinggi_cm_mean,box_tinggi_cm_median,log_volume_box_cm3_mean,log_volume_box_cm3_median,lebar_cm_roll_mean,lebar_cm_roll_median,panjang_meter_roll_mean,panjang_meter_roll_median,lebar_pair_yard_mean,lebar_pair_yard_median,panjang_yard_pair_mean,panjang_yard_pair_median,jumlah_dimensi_x_mean,jumlah_dimensi_x_median,panjang_nama_mean,panjang_nama_median,jumlah_token_mean,jumlah_token_median,kategori_produk,jenis_produk,merek,warna,material,bentuk_kemasan,family_template,few_reviews_flag
bubble wrap global bening 2.2kg 30 cm x 50 meter,4.0,0.0,2,4.0,4.0,10.823250575186464,10.823250575186464,2.301,2.301,0.0,0.0,0.0,0.0,30.775,30.775,50.445,50.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.905,29.905,50.805,50.805,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 2.2kg 30 cmx50 meter,4.0,0.0,1,4.0,4.0,10.800168,10.800168,2.148,2.148,0.0,0.0,0.0,0.0,28.6,28.6,50.02,50.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,29.3,47.57,47.57,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,8.0,8.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 2.4kg 125 cm x 25 meter,3.5,0.0,1,3.5,3.5,11.245059091624617,11.245059091624617,2.4,2.4,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,49.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 2.4kg 60 cm x 50 meter,4.5,0.0,3,4.5,4.5,11.125110563310821,11.127277689932466,2.3146666666666667,2.273,0.0,0.0,0.0,0.0,59.51666666666667,60.0,49.46666666666667,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.63333333333333,60.0,49.94333333333333,50.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 2.4kg 60cm x 50 meter,4.5,0.0,1,4.5,4.5,11.166284,11.166284,2.422,2.422,0.0,0.0,0.0,0.0,55.49,55.49,52.18,52.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.32,62.32,47.6,47.6,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,9.0,9.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 2.7kg 125 cm x 25 meter,4.0,0.0,1,4.0,4.0,11.184435286790633,11.184435286790633,2.7,2.7,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,49.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 2.7kg 30 cm x 25 meter,4.0,0.0,2,4.0,4.0,11.10545846668741,11.10545846668741,2.7990000000000004,2.7990000000000004,0.0,0.0,0.0,0.0,29.845,29.845,24.865000000000002,24.865000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.875,29.875,24.93,24.93,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.0kg 125 cm x 25 meter,4.0,0.0,2,4.0,4.0,11.330625439589832,11.330625439589832,3.0060000000000002,3.0060000000000002,0.0,0.0,0.0,0.0,127.955,127.955,25.4,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.08500000000001,125.08500000000001,24.085,24.085,0.0,0.0,0.0,0.0,1.0,1.0,49.0,49.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.0kg 30 cm x 100 meter,3.8333333333333335,0.28867513459481287,3,3.5,4.0,11.575630205494562,11.556951919719207,2.9796666666666667,3.0,0.0,0.0,0.0,0.0,29.900000000000002,30.0,99.52666666666666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.27,30.0,97.92666666666666,100.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,49.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.0kg 30 cm x 25 meter,3.5,0.0,1,3.5,3.5,11.251573687764475,11.251573687764475,3.0,3.0,0.0,0.0,0.0,0.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.0kg 30 cm x 50 meter,3.5,0.0,3,3.5,3.5,11.287942737211731,11.284591,2.9963333333333337,3.0,0.0,0.0,0.0,0.0,30.246666666666666,30.0,49.04333333333333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.66333333333333,30.0,50.629999999999995,50.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.0kg 60 cm x 25 meter,4.0,0.0,1,4.0,4.0,11.205054290550551,11.205054290550551,3.0,3.0,0.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.2kg 30 cm x 25 meter,4.5,0.0,4,4.5,4.5,11.241778431440723,11.244623862881447,3.01075,2.9665,0.0,0.0,0.0,0.0,30.3275,30.735,25.2325,25.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.94,29.785,24.405,24.28,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap global bening 3.2kg 30 cm x 50 meter,4.0,0.0,5,4.0,4.0,11.286921975835934,11.283524879179666,3.1256,3.099,0.0,0.0,0.0,0.0,30.089999999999996,29.59,51.358000000000004,51.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.51,29.37,50.744,50.5,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,0
bubble wrap global bening 3.2kg 30 cmx25 meter,4.5,0.0,2,4.5,4.5,11.204608499999999,11.204608499999999,2.9285,2.9285,0.0,0.0,0.0,0.0,31.375,31.375,23.845,23.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.560000000000002,29.560000000000002,24.86,24.86,0.0,0.0,0.0,0.0,1.0,1.0,46.0,46.0,8.0,8.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.2kg 60 cm x 100 meter,3.8333333333333335,0.28867513459481287,3,3.5,4.0,11.5319798001071,11.537627833610571,3.1056666666666666,3.2,0.0,0.0,0.0,0.0,60.74,60.0,98.41333333333334,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.52333333333333,60.0,97.81,100.0,0.0,0.0,0.0,0.0,1.0,1.0,49.0,49.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global bening 3.2kg 60 cm x 25 meter,4.0,0.0,2,4.0,4.0,11.412856250425914,11.412856250425914,3.2045000000000003,3.2045000000000003,0.0,0.0,0.0,0.0,61.835,61.835,24.785,24.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.239999999999995,61.239999999999995,24.1,24.1,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,bening,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.2kg 125 cm x 25 meter,4.0,0.0,1,4.0,4.0,11.277215789596893,11.277215789596893,2.2,2.2,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,125.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.2kg 125 cm x 50 meter,3.5,0.0,3,3.5,3.5,11.361632549198255,11.344518647594766,2.2786666666666666,2.311,0.0,0.0,0.0,0.0,128.93666666666667,128.69,48.27666666666667,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.5533333333333,131.99,50.60999999999999,50.29,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.2kg 60 cm x 25 meter,3.25,0.3535533905932738,2,3.0,3.5,11.089791552891874,11.089791552891874,2.2,2.2,0.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,60.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.4kg 125 cm x 25 meter,4.0,0.0,2,4.0,4.0,11.122687403321871,11.122687403321871,2.4435000000000002,2.4435000000000002,0.0,0.0,0.0,0.0,124.305,124.305,25.555,25.555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.075,126.075,24.685000000000002,24.685000000000002,0.0,0.0,0.0,0.0,1.0,1.0,48.0,48.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.4kg 30 cm x 25 meter,3.75,0.3535533905932738,2,3.5,4.0,10.87802156015778,10.87802156015778,2.4,2.4,0.0,0.0,0.0,0.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
bubble wrap global hitam 2.4kg 30 cm x 50 meter,4.0,0.0,1,4.0,4.0,11.089820688682371,11.089820688682371,2.4,2.4,0.0,0.0,0.0,0.0,30.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,50.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,47.0,47.0,10.0,10.0,Pelindung Kemasan,bubble wrap,global,hitam,lainnya,lainnya,bubble_wrap,1
