Version,Date,Model Prefix,Input Size,Hidden Layers,Epochs,Learning Rate,Max Features Name,Max Features Category,Best Val MSE,Test RMSE
1,2026-03-23 18:01:25,rating_ann,3,"[256, 128, 64]",200,0.001,100,10,1.6151,1.6108
2,2026-03-23 18:09:02,rating_ann,111,"[256, 128, 64]",200,0.001,100,10,1.8037,1.3249
3,2026-03-23 18:10:38,rating_ann,111,"[256, 128, 64]",300,0.001,100,10,1.7990,1.3144
4,2026-03-23 18:38:58,rating_ann,111,"[32, 16]",300,0.001,100,10,1.8904,1.3552
5,2026-03-23 18:48:54,rating_ann,161,"[32, 16]",300,0.001,150,10,1.8463,1.3211
6,2026-03-23 20:10:30,rating_ann,161,"[32, 16]",300,0.001,150,10,1.8345,1.3159
7,2026-03-24 21:35:34,rating_ann,166,"[32, 16]",300,0.002,150,15,1.8227,1.3002
8,2026-03-24 21:36:35,rating_ann,106,"[32, 16]",300,0.0001,100,5,6.1906,2.5117
9,2026-03-24 21:38:02,rating_ann,181,"[32, 16]",300,0.001,200,10,1.8858,1.3188
10,2026-03-24 21:39:20,rating_ann,186,"[32, 16]",300,0.003,200,15,1.8479,1.2762
11,2026-03-24 21:40:45,rating_ann,191,"[32, 16]",300,0.002,250,20,1.8040,1.2983
12,2026-03-24 21:42:26,rating_ann,194,"[32, 16]",300,0.001,300,25,1.8133,1.3097
13,2026-03-24 21:43:24,rating_ann,174,"[32, 16]",300,0.002,150,30,1.8190,1.2945
14,2026-03-24 21:44:47,rating_ann,191,"[32, 16]",300,0.003,200,20,1.8252,1.2799
15,2026-03-24 21:45:52,rating_ann,186,"[32, 16]",300,0.001,350,15,1.8177,1.2975
16,2026-03-24 21:47:00,rating_ann,121,"[32, 16]",300,0.003,100,20,1.7247,1.2758
17,2026-03-24 21:48:19,rating_ann,174,"[32, 16]",300,0.001,150,25,1.8674,1.3000
18,2026-03-24 21:51:15,rating_ann,136,"[32, 16]",300,0.001,125,10,1.8488,1.3247
19,2026-03-25 20:20:06,rating_ann,136,"[32, 16]",300,0.001,125,10,1.8125,1.3215
20,2026-03-25 20:23:31,rating_ann,171,"[32, 16]",400,0.001,150,20,1.7934,1.2921
21,2026-03-25 20:24:58,rating_ann,191,"[32, 16]",400,0.002,200,20,1.8486,1.3220
22,2026-03-26 20:11:45,rating_ann,191,"[32, 16]",400,0.002,200,20,1.7925,1.2968
23,2026-03-26 20:40:44,rating_ann,191,"[32, 16]",400,0.002,200,20,1.8214,1.3124
24,2026-03-26 20:41:06,rating_ann,191,"[32, 16]",400,0.002,200,20,1.8224,1.2906
