trial,val_rmse,val_mae,batch_size,epochs,learning_rate,weight_decay,patience,hidden_layers,dropout,scheduler_factor,scheduler_patience
1,0.5146445576414769,0.4198664724826813,16,300,0.0005,0.0002,35,"[128, 64, 32]",0.35,0.5,8
2,0.5271550724026112,0.43173375725746155,32,350,0.0001,0.0003,25,"[128, 64]",0.35,0.5,12
3,0.5196053301548108,0.42064088582992554,32,300,0.001,0.0002,25,"[512, 256, 128]",0.3,0.5,8
4,0.5229081281088986,0.42342492938041687,16,300,0.0003,0.0003,30,"[128, 64]",0.2,0.5,8
5,0.48876701605851813,0.4008754789829254,32,250,0.1,0.0003,40,"[32, 64]",0.3,0.5,14
6,0.5235827799495671,0.4294882118701935,64,300,0.0005,0.0003,35,"[256, 128, 64]",0.35,0.5,10
7,0.5533847554520789,0.45521655678749084,16,300,0.1,0.0001,35,"[64, 64, 32]",0.2,0.5,10
8,0.5090002108706504,0.4167971611022949,32,300,0.01,0.0003,30,"[512, 256]",0.3,0.5,12
9,0.5177747820675205,0.4197555184364319,16,350,0.0001,0.0001,30,"[256, 128, 64]",0.3,0.5,14
10,0.530707390749963,0.43398433923721313,32,250,0.0001,0.0002,35,"[128, 256]",0.2,0.5,10
11,0.5079395428711854,0.4134776294231415,64,250,0.001,0.0003,40,"[32, 64]",0.35,0.5,8
12,0.5361770305916498,0.4431169033050537,16,300,0.0001,0.0002,40,"[512, 256]",0.35,0.5,14
13,0.5098136499225218,0.4135330617427826,16,250,0.0005,0.0003,35,"[128, 64, 32]",0.25,0.5,8
14,0.5187172212930373,0.42556190490722656,64,250,0.001,0.0003,35,"[128, 256]",0.25,0.5,12
15,0.552694770822968,0.44541987776756287,16,300,1e-05,0.0003,25,"[256, 128, 64]",0.3,0.5,12
16,0.5231735076199804,0.4270433783531189,64,250,0.0006,0.0003,30,"[64, 64, 32]",0.25,0.5,14
17,0.5122502311475167,0.4099786579608917,16,250,0.0008,0.0002,25,"[128, 64]",0.3,0.5,8
18,0.5290014984149299,0.43612852692604065,32,300,1e-05,0.0001,35,"[256, 128, 64]",0.35,0.5,12
19,0.5230385412872753,0.427959144115448,32,250,0.0001,0.0001,35,"[512, 256, 128]",0.3,0.5,14
20,0.531273757178973,0.430873841047287,64,250,0.0004,0.0001,40,"[512, 256, 128]",0.3,0.5,10
21,0.5009546107786556,0.40360671281814575,32,300,0.0008,0.0002,40,"[128, 64, 32]",0.35,0.5,8
22,0.5268408744141159,0.4244636297225952,32,250,0.0008,0.0003,40,"[64, 64, 32]",0.25,0.5,10
23,0.5133645766625605,0.41654515266418457,32,300,0.0008,0.0003,30,"[512, 256]",0.35,0.5,12
24,0.41540077155468125,0.27515819668769836,16,300,0.1,0.0001,40,"[512, 256, 128]",0.3,0.5,14
25,0.42097670674841453,0.2954581081867218,16,250,0.1,0.0002,40,"[512, 256, 128]",0.35,0.5,12
26,0.5191380726770903,0.4281633198261261,64,300,0.0001,0.0001,30,"[128, 256]",0.35,0.5,12
27,0.5228205218842624,0.42528650164604187,64,250,0.0004,0.0001,25,"[32, 64]",0.3,0.5,14
28,0.530242216480255,0.4334666430950165,16,300,0.001,0.0002,30,"[32, 64]",0.2,0.5,10
29,0.5454726085236798,0.4267544746398926,32,350,1e-05,0.0001,35,"[128, 64]",0.25,0.5,8
30,0.5084825057149598,0.4187663197517395,16,350,0.0005,0.0002,35,"[512, 256, 128]",0.25,0.5,10
31,0.529988923856771,0.4337829649448395,32,250,0.0001,0.0002,30,"[512, 256]",0.3,0.5,14
32,0.5241446771037204,0.4229152798652649,64,350,0.0004,0.0002,25,"[512, 256, 128]",0.25,0.5,12
33,0.4562492364067063,0.36625707149505615,32,350,0.1,0.0002,25,"[512, 256]",0.3,0.5,12
34,0.5228151635776488,0.43099528551101685,32,300,0.1,0.0001,35,"[64, 64, 32]",0.35,0.5,12
35,0.5045692754163226,0.4073711037635803,32,300,0.0006,0.0001,30,"[128, 64, 32]",0.3,0.5,10
36,0.5295053050556212,0.43233031034469604,16,250,0.0008,0.0003,35,"[128, 256]",0.2,0.5,14
37,0.51797613998826,0.41249990463256836,16,300,0.01,0.0003,30,"[256, 128, 64]",0.25,0.5,10
38,0.5315869328772205,0.4311105012893677,32,300,0.0001,0.0003,40,"[32, 64]",0.3,0.5,12
39,0.48569424234986686,0.3904629349708557,64,300,0.01,0.0003,40,"[512, 256]",0.2,0.5,10
40,0.5222681563322455,0.4262414276599884,16,300,0.0001,0.0002,30,"[128, 64]",0.3,0.5,8
41,0.5287227261500467,0.4329865574836731,32,300,0.0004,0.0001,40,"[64, 64, 32]",0.2,0.5,10
42,0.5233922340975777,0.42488476634025574,64,300,0.0003,0.0002,25,"[32, 64]",0.25,0.5,14
43,0.5456644010355028,0.4292847514152527,16,350,1e-05,0.0001,35,"[256, 128, 64]",0.25,0.5,12
44,0.5266591184362891,0.4217820167541504,16,350,0.01,0.0003,25,"[128, 64, 32]",0.3,0.5,8
45,0.5024635006094038,0.40762025117874146,16,350,0.0006,0.0003,25,"[512, 256, 128]",0.3,0.5,8
46,0.5107185547942733,0.41504499316215515,32,250,0.01,0.0001,25,"[64, 64, 32]",0.3,0.5,10
47,0.5260958564972179,0.4282979369163513,16,350,0.0008,0.0001,35,"[128, 64, 32]",0.25,0.5,12
48,0.5243444982666918,0.42499884963035583,16,350,0.0004,0.0002,35,"[32, 64]",0.35,0.5,12
49,0.5271402884860855,0.4303642511367798,16,350,0.0005,0.0003,30,"[128, 256]",0.35,0.5,14
50,0.5482746197573293,0.45156019926071167,32,350,1e-05,0.0003,35,"[128, 64, 32]",0.35,0.5,8
