trial,val_rmse,val_mae,batch_size,epochs,learning_rate,weight_decay,patience,hidden_layers,dropout,scheduler_factor,scheduler_patience
1,0.5109308014876809,0.4200347065925598,16,300,0.0005,0.0004,35,"[128, 64, 32]",0.35,0.5,8
2,0.5236143980448681,0.43289726972579956,32,350,0.0001,0.0001,30,"[128, 256]",0.25,0.5,8
3,0.515972944829317,0.41468343138694763,32,300,0.001,0.0003,25,"[512, 256, 128]",0.3,0.5,8
4,0.5222227320037319,0.4222312271595001,16,300,0.0003,0.0005,30,"[128, 64]",0.2,0.5,8
5,0.44192025968565757,0.3472069799900055,32,250,0.1,0.0005,40,"[32, 64]",0.3,0.5,14
6,0.5236401806049387,0.42874181270599365,64,300,0.0005,0.0005,35,"[256, 128, 64]",0.35,0.5,10
7,0.5533847554520789,0.45521655678749084,16,300,0.1,0.0001,35,"[64, 64, 32]",0.2,0.5,10
8,0.5003955289911586,0.3992099165916443,32,300,0.01,0.0002,40,"[32, 64]",0.2,0.5,10
9,0.5174071407394544,0.42451217770576477,16,350,0.0001,0.0002,30,"[256, 128, 64]",0.3,0.5,14
10,0.5299858873215779,0.43313655257225037,32,250,0.0001,0.0004,35,"[128, 256]",0.2,0.5,10
11,0.5047776132921511,0.40935736894607544,64,250,0.001,0.0005,40,"[32, 64]",0.35,0.5,8
12,0.5336593799806426,0.44113317131996155,16,300,0.0001,0.0003,40,"[512, 256]",0.35,0.5,14
13,0.5172467016351849,0.4170578420162201,16,250,0.0005,0.0003,25,"[128, 64]",0.3,0.5,12
14,0.514703128811339,0.42392218112945557,64,250,0.001,0.0005,35,"[128, 256]",0.25,0.5,12
15,0.5527107044988221,0.4454825520515442,16,300,1e-05,0.0005,25,"[256, 128, 64]",0.3,0.5,12
16,0.5012463592339997,0.388483464717865,64,250,0.0006,0.0002,25,"[256, 128, 64]",0.35,0.5,12
17,0.5112576044818186,0.4089656472206116,16,250,0.0008,0.0004,25,"[128, 64]",0.3,0.5,8
18,0.529002287131415,0.43612903356552124,32,300,1e-05,0.0002,35,"[256, 128, 64]",0.35,0.5,12
19,0.5220282358209846,0.42759039998054504,32,250,0.0001,0.0002,35,"[512, 256, 128]",0.3,0.5,14
20,0.5303348906088758,0.42991286516189575,64,250,0.0004,0.0002,40,"[512, 256, 128]",0.3,0.5,10
21,0.5022645867177224,0.4027925431728363,32,300,0.0008,0.0003,40,"[128, 64, 32]",0.35,0.5,8
22,0.5289907942892143,0.4245399236679077,32,250,0.0008,0.0005,40,"[64, 64, 32]",0.25,0.5,10
23,0.5123237934978256,0.41461843252182007,32,300,0.0008,0.0005,30,"[512, 256]",0.35,0.5,12
24,0.41538360655779616,0.27466362714767456,16,300,0.1,0.0002,40,"[512, 256, 128]",0.3,0.5,14
25,0.4155062032447688,0.27737119793891907,16,250,0.1,0.0004,40,"[512, 256, 128]",0.35,0.5,12
